,k,accuracy_score,sensitivity_score,specificity_score
0,1,0.7114499999999999,0.38696307460437074,0.80359512090734
1,2,0.7915166666666666,0.1843255463451394,0.9639417932805479
2,3,0.7920166666666667,0.3389600602863602,0.9206719452172052
3,4,0.8027666666666666,0.24928409947249439,0.959940081318211
4,5,0.8005666666666666,0.33202712886209496,0.9336186603894714
5,6,0.8049833333333334,0.27822155237377544,0.9545687994864114
6,7,0.8050166666666667,0.33330821401657873,0.9389685426920608
7,8,0.8087000000000002,0.28666164280331574,0.956944147228761
8,9,0.8115500000000001,0.3410700828937453,0.945153006633854
9,10,0.8108333333333334,0.2994724943481537,0.956045367001926
10,11,0.8143333333333332,0.3531273549359457,0.9453028033383266
11,12,0.8132833333333334,0.3223059532780708,0.9527070404451102
12,13,0.8127500000000001,0.3560663149962321,0.9424352664241387
13,14,0.8124,0.3156744536548606,0.9534560239674728
14,15,0.8129166666666666,0.3442351168048229,0.9460089878022682
15,16,0.8140333333333334,0.3214770158251695,0.95390541408089
16,17,0.8145333333333331,0.35033911077618685,0.9463513802696341
17,18,0.8155166666666667,0.3299171062547099,0.953413224909052
18,19,0.8161833333333334,0.35712132629992466,0.9465439760325273
19,20,0.8160666666666666,0.3444611906556142,0.9499893002353949
20,21,0.817,0.36616428033157494,0.9450246094585918
21,22,0.8167,0.3440090429540316,0.9509308795206504
22,23,0.8174333333333333,0.3593067068575735,0.9475283543762038
23,24,0.8182499999999999,0.34702336096458175,0.9520650545687994
24,25,0.8188666666666666,0.3581009796533534,0.9497111063556603
25,26,0.8184666666666667,0.3445365486058779,0.953049432912476
26,27,0.8181666666666667,0.36224566691785987,0.9476353520222556
27,28,0.8182666666666668,0.347249434815373,0.9520222555103789
28,29,0.8180333333333334,0.36571213262999247,0.9464797774448963
29,30,0.8183666666666667,0.34431047475508664,0.9529852343248448
30,31,0.8186,0.35546345139412205,0.9501176974106569
31,32,0.8185666666666667,0.34679728711379043,0.9525358442114273
32,33,0.8188333333333333,0.35674453654860583,0.9500534988230258
33,34,0.8191666666666666,0.35018839487565934,0.952343248448534
34,35,0.8191166666666667,0.35538809344385835,0.9508024823453883
35,36,0.8187833333333334,0.3433308214016579,0.9537984164348383
36,37,0.8189499999999998,0.3507912584777694,0.9518938583351165
37,38,0.8189666666666666,0.3483044461190656,0.9526214423282686
38,39,0.8190499999999998,0.3579502637528259,0.9499893002353949
