,k,accuracy_score,sensitivity_score,specificity_score
0,1,0.6792166666666667,0.25825169555388094,0.7987588273057993
1,2,0.7607499999999999,0.0785983421250942,0.9544618018403594
2,3,0.7272333333333334,0.18003014318010552,0.8826235822811899
3,4,0.7640333333333332,0.07543330821401657,0.959576289321635
4,5,0.7470666666666667,0.13345892991710623,0.921313931093516
5,6,0.7675666666666666,0.06601356443104747,0.9667879306655254
6,7,0.7565333333333333,0.10497362471740768,0.9415578857265139
7,8,0.7701833333333332,0.06103993971363978,0.971560025679435
8,9,0.7630666666666668,0.0910324039186134,0.95390541408089
9,10,0.7721833333333332,0.05493594574227582,0.9758613310507169
10,11,0.7668,0.07874905802562171,0.9621870318852986
11,12,0.7735833333333333,0.05086661642803316,0.9788144660817462
12,13,0.7704666666666666,0.07287113790504898,0.9685640915899849
13,14,0.7745333333333334,0.04928409947249434,0.9804836293601541
14,15,0.7721166666666666,0.06789751318764128,0.9720950139096942
15,16,0.7747833333333334,0.04815373021853806,0.9811256152364647
16,17,0.7727999999999999,0.0627731725697061,0.9744275625936231
17,18,0.7754666666666666,0.0464958553127355,0.9824737855767174
18,19,0.7735166666666666,0.05915599095704597,0.9763749197517655
19,20,0.7756000000000001,0.0440844009042954,0.9833297667451315
20,21,0.77425,0.05629238884702337,0.9781296811470149
21,22,0.7760999999999999,0.042727957799547855,0.9843569441472289
22,23,0.7747166666666667,0.05267520723436322,0.979756045367002
23,24,0.7762166666666667,0.04069329314242652,0.985084528140381
24,25,0.7747666666666666,0.05146948003014319,0.9801626364219986
25,26,0.7760833333333335,0.040391861341371516,0.9849989300235397
26,27,0.7752,0.05056518462697814,0.9809758185319923
27,28,0.7761833333333332,0.03896006028636021,0.9855339182537983
28,29,0.7751333333333333,0.04747550866616428,0.9817676011127755
29,30,0.7761666666666667,0.038055764883195176,0.9857693130751125
30,31,0.7752333333333333,0.04559155990957046,0.9824309865182966
31,32,0.7758166666666666,0.03526752072343632,0.9861117055424782
32,33,0.7748333333333333,0.042954031650339106,0.9826663813396104
33,34,0.77595,0.03421250941974378,0.986582495185106
34,35,0.7751166666666667,0.04189902034664657,0.9833297667451317
35,36,0.7758333333333334,0.033157498116051246,0.9867322918895785
36,37,0.7753166666666667,0.041220798794272796,0.9837791568585491
37,38,0.7761,0.03308214016578749,0.9870960838861546
38,39,0.7756000000000001,0.03956292388847023,0.9846137384977531
