,k,accuracy_score,sensitivity_score,specificity_score
0,1,0.6939,0.2953278070836473,0.8070832441686283
1,2,0.7665166666666666,0.11228334589299171,0.9523004493901134
2,3,0.7363166666666666,0.22434061793519217,0.8817034025251445
3,4,0.76715,0.10866616428033157,0.9541408089022042
4,5,0.7525000000000001,0.1816126601356443,0.914615878450674
5,6,0.7692,0.09751318764129616,0.959940081318211
6,7,0.7596499999999999,0.14996232102486812,0.9327840787502675
7,8,0.7714333333333333,0.09058025621703089,0.964776374919752
8,9,0.7657333333333333,0.13353428786737,0.9452600042799059
9,10,0.7730333333333332,0.08673700075357951,0.9679221057136743
10,11,0.7692999999999999,0.12260738507912586,0.9529424352664242
11,12,0.7750833333333333,0.08417483044461191,0.9712818317997005
12,13,0.7718999999999999,0.11552373775433308,0.9582923175690136
13,14,0.7760833333333333,0.08394875659382064,0.972630002139953
14,15,0.7726166666666667,0.10625470987189149,0.9618446394179327
15,16,0.7759166666666666,0.08100979653353428,0.9732505884870533
16,17,0.7732666666666667,0.09834212509419743,0.9649261716242243
17,18,0.7763833333333332,0.0782969103240392,0.9746201583565162
18,19,0.7745500000000001,0.09721175584024114,0.9668949283115771
19,20,0.7769666666666666,0.07686510926902787,0.9757757329338753
20,21,0.7749166666666667,0.09216277317256971,0.9687994864112989
21,22,0.7774833333333333,0.0747550866616428,0.9770383051572864
22,23,0.7756833333333334,0.08982667671439337,0.9704472501604965
23,24,0.7778833333333333,0.07467972871137904,0.9775732933875455
24,25,0.7765000000000001,0.08967596081386586,0.9715386261502248
25,26,0.7780666666666667,0.07407686510926902,0.9779798844425421
26,27,0.7775000000000001,0.08711379050489827,0.9735501818959982
27,28,0.7786500000000001,0.07196684250188394,0.9793280547827947
28,29,0.7778,0.08372268274302938,0.9748983522362508
